"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"VR1","SOT-223","232.664mm","16.1131mm","232.664mm","16.1131mm","235.664mm","13.8131mm","T","360.00","AMS1117-3.3"
"U2","SOT-23-6","50.673mm","16.1131mm","50.673mm","16.1131mm","51.623mm","17.5131mm","T","90.00","MP2359DJ-LF-Z"
"U1","LQFP-48_7x7x05P","254.762mm","15.3511mm","254.762mm","15.3511mm","258.812mm","12.6011mm","T","90.00","STM32F030C8T6"
"S1","TSW_SMD-3*6*2.5","273.5874mm","14.7261mm","273.6168mm","14.7361mm","269.621mm","14.7161mm","T","360.00","SW-SPST"
"R7","0603_R","43.942mm","13.1921mm","43.942mm","13.1921mm","43.942mm","13.9621mm","T","270.00","0次 (0R0) ㊣1%"
"R6","0603_R","50.673mm","19.1611mm","50.673mm","19.1611mm","49.903mm","19.1611mm","T","360.00","49.9K次 (4992) ㊣1%"
"R5","0603_R","47.371mm","17.5101mm","47.371mm","17.5101mm","48.141mm","17.5101mm","T","180.00","7.5K次 (7501) ㊣1%"
"R4","0603_R","47.371mm","19.2881mm","47.371mm","19.2881mm","46.601mm","19.2881mm","T","360.00","2K次 (2001) ㊣1%"
"R3","0603_R","48.133mm","14.9701mm","48.133mm","14.9701mm","48.133mm","14.2001mm","T","90.00","100K次 (1003) ㊣1%"
"R2","0603_R","266.573mm","11.4141mm","266.573mm","11.4141mm","267.343mm","11.4141mm","T","180.00","10K次 (1002) ㊣1%"
"R1","0805_R","266.827mm","17.6371mm","266.827mm","17.6371mm","267.717mm","17.6371mm","T","180.00","10K次 (1002) ㊣1%"
"L1","L_4030","56.642mm","16.0641mm","58.642mm","14.0641mm","56.642mm","14.3641mm","T","90.00","4.7uH ㊣10%"
"JP1","XH2.54-LI-5P","286.639mm","17.6371mm","286.639mm","17.6371mm","291.719mm","17.6371mm","T","180.00","HDR-1X5"
"FB2","0805_L","263.017mm","15.2241mm","263.017mm","15.2241mm","263.907mm","15.2241mm","T","180.00","100次 ㊣25% 100MHz"
"FB1","0805_L","263.017mm","17.6371mm","263.017mm","17.6371mm","263.907mm","17.6371mm","T","180.00","100次 ㊣25% 100MHz"
"D4","SMA(DO-214AC)_S1","18.415mm","15.9861mm","18.415mm","15.9861mm","16.315mm","15.9861mm","T","180.00","M7"
"D3","LL-34","245.11mm","15.7321mm","245.11mm","15.7321mm","245.11mm","13.9821mm","T","270.00","ZMM3V3"
"D2","SMA(DO-214AC)_S1","49.149mm","11.4141mm","49.149mm","11.4141mm","47.049mm","11.4141mm","T","180.00","SS210"
"D1","SOD-323","53.594mm","17.8911mm","53.594mm","17.8911mm","53.594mm","19.0711mm","T","90.00","1N4148WS T4"
"CAP1","8X12_CAP","19.431mm","9.6361mm","19.431mm","9.6361mm","19.431mm","11.3861mm","T","270.00","CAP"
"C44","0603_C","238.506mm","15.3511mm","238.506mm","15.3511mm","238.506mm","14.5811mm","T","90.00","100nF (104) 10% 50V"
"C43","0805_C","240.538mm","15.2241mm","240.538mm","15.2241mm","240.538mm","14.3341mm","T","90.00","10uF (106) 10% 25V"
"C42","0603_C","227.076mm","17.6371mm","227.076mm","17.6371mm","227.076mm","16.8671mm","T","90.00","100nF (104) 10% 50V"
"C41","0805_C","225.044mm","17.5101mm","225.044mm","17.5101mm","225.044mm","16.6201mm","T","90.00","10uF (106) 10% 25V"
"C40","0805_C","46.101mm","14.8431mm","46.101mm","14.8431mm","46.101mm","13.9531mm","T","90.00","10uF (106) 10% 25V"
"C39","0603_C","53.594mm","14.0811mm","53.594mm","14.0811mm","53.594mm","14.8511mm","T","270.00","22nF (223) 10% 50V"
"C38","0805_C","60.198mm","15.7321mm","60.198mm","15.7321mm","60.198mm","16.6221mm","T","270.00","22uF (226) 20% 25V"
"C37","0603_C","243.84mm","19.4151mm","243.84mm","19.4151mm","244.61mm","19.4151mm","T","180.00","100nF (104) 10% 50V"
"C36","0603_C","263.017mm","13.1921mm","263.017mm","13.1921mm","262.247mm","13.1921mm","T","0.00","100nF (104) 10% 50V"
"C35","0603_C","263.017mm","11.4141mm","263.017mm","11.4141mm","262.247mm","11.4141mm","T","360.00","100nF (104) 10% 50V"
"C34","0603_C","266.573mm","15.3511mm","266.573mm","15.3511mm","267.343mm","15.3511mm","T","180.00","100nF (104) 10% 50V"
"C33","0603_C","266.573mm","13.3191mm","266.573mm","13.3191mm","265.803mm","13.3191mm","T","360.00","100nF (104) 10% 50V"
"C16","0603_C","384.429mm","12.4301mm","384.429mm","12.4301mm","383.659mm","12.4301mm","T","0.00","10pF (100) 5% 50V"
"C15","0603_C","384.429mm","14.2081mm","384.429mm","14.2081mm","383.659mm","14.2081mm","T","0.00","10pF (100) 5% 50V"
"C14","0603_C","384.429mm","15.9861mm","384.429mm","15.9861mm","383.659mm","15.9861mm","T","0.00","10pF (100) 5% 50V"
"C13","0603_C","384.429mm","17.7641mm","384.429mm","17.7641mm","383.659mm","17.7641mm","T","0.00","10pF (100) 5% 50V"
"C8","0603_C","151.13mm","12.3031mm","151.13mm","12.3031mm","150.36mm","12.3031mm","T","360.00","10pF (100) 5% 50V"
"C7","0603_C","151.13mm","14.0811mm","151.13mm","14.0811mm","150.36mm","14.0811mm","T","0.00","10pF (100) 5% 50V"
"C6","0603_C","151.13mm","15.8591mm","151.13mm","15.8591mm","150.36mm","15.8591mm","T","0.00","10pF (100) 5% 50V"
"C5","0603_C","151.13mm","17.6371mm","151.13mm","17.6371mm","150.36mm","17.6371mm","T","0.00","10pF (100) 5% 50V"
